"Title: Population Distribution by Age | KFF"
"Timeframe: 2008 - 2022"
"Location","2008__Children 0-18","2008__Adults 19-25","2008__Adults 26-34","2008__Adults 35-54","2008__Adults 55-64","2008__65+","2008__Total","2009__Children 0-18","2009__Adults 19-25","2009__Adults 26-34","2009__Adults 35-54","2009__Adults 55-64","2009__65+","2009__Total","2010__Children 0-18","2010__Adults 19-25","2010__Adults 26-34","2010__Adults 35-54","2010__Adults 55-64","2010__65+","2010__Total","2011__Children 0-18","2011__Adults 19-25","2011__Adults 26-34","2011__Adults 35-54","2011__Adults 55-64","2011__65+","2011__Total","2012__Children 0-18","2012__Adults 19-25","2012__Adults 26-34","2012__Adults 35-54","2012__Adults 55-64","2012__65+","2012__Total","2013__Children 0-18","2013__Adults 19-25","2013__Adults 26-34","2013__Adults 35-54","2013__Adults 55-64","2013__65+","2013__Total","2014__Children 0-18","2014__Adults 19-25","2014__Adults 26-34","2014__Adults 35-54","2014__Adults 55-64","2014__65+","2014__Total","2015__Children 0-18","2015__Adults 19-25","2015__Adults 26-34","2015__Adults 35-54","2015__Adults 55-64","2015__65+","2015__Total","2016__Children 0-18","2016__Adults 19-25","2016__Adults 26-34","2016__Adults 35-54","2016__Adults 55-64","2016__65+","2016__Total","2017__Children 0-18","2017__Adults 19-25","2017__Adults 26-34","2017__Adults 35-54","2017__Adults 55-64","2017__65+","2017__Total","2018__Children 0-18","2018__Adults 19-25","2018__Adults 26-34","2018__Adults 35-54","2018__Adults 55-64","2018__65+","2018__Total","2019__Children 0-18","2019__Adults 19-25","2019__Adults 26-34","2019__Adults 35-54","2019__Adults 55-64","2019__65+","2019__Total","2021__Children 0-18","2021__Adults 19-25","2021__Adults 26-34","2021__Adults 35-54","2021__Adults 55-64","2021__65+","2021__Total","2022__Children 0-18","2022__Adults 19-25","2022__Adults 26-34","2022__Adults 35-54","2022__Adults 55-64","2022__65+","2022__Total",Footnotes
"Georgia","2634700","853400","1158000","2789300","994100","946900","9376400","2680000","874900","1169700","2764000","1021100","975300","9484800","2581900","880400","1133400","2742600","1073300","1003000","9414700","2596500","889400","1151000","2733400","1102900","1044300","9517400","2590600","902800","1161700","2726600","1125300","1109400","9616400","2589900","913100","1156600","2720800","1147000","1163500","9690900","2584000","923700","1180500","2723600","1162300","1218700","9792900","2604800","914700","1184900","2741400","1201400","1262700","9909700","2605000","907900","1209700","2730400","1217700","1330400","10001000","2612200","908000","1216400","2754900","1257200","1372700","10121400","2610600","901500","1262600","2743500","1268300","1426400","10212800","2602500","917200","1252700","2744000","1284300","1493300","10294000","2623300","905700","1278100","2789500","1322900","1558700","10478300","2609100","972200","1286300","2812800","1323500","1605900","10609800"
"Hawaii","296200","117400","134000","347800","147400","186300","1229000","297700","104100","149400","338200","154400","179800","1223500","312500","114800","142500","362300","175500","194100","1301600","314500","110900","155600","353600","178200","199000","1311900","315700","116300","162600","349300","179900","206500","1330300","314700","119600","160800","344100","176500","215900","1331500","313500","116600","170100","344600","178500","224900","1348100","317600","120800","170400","342900","178900","232100","1362600","316300","111500","168000","346000","183500","239300","1364600","312600","100400","169700","341900","182000","249600","1356100","312100","98400","167600","340100","178500","258100","1354800","305800","96200","155600","342900","177500","265000","1343000","307900","96500","157500","343800","180700","278700","1365100","300500","99000","151500","352700","175200","290600","1369500"
"Idaho","428400","142700","180100","396700","166500","170000","1484300","435800","154200","174300","392500","172600","178300","1507700","444300","145200","182700","394800","179100","192800","1538900","438000","145600","181700","396300","187100","198600","1547300","438200","148700","181300","396700","191700","206000","1562500","443000","147100","182600","394600","194600","219000","1580900","444300","149600","182500","393200","198900","230500","1598800","446200","147900","186300","397600","202000","237100","1617200","452200","146000","195400","398600","205300","253200","1650700","459700","150200","190100","410500","212000","259700","1682100","462600","150600","203200","414500","212900","275900","1719600","468000","148300","210100","423000","218100","283500","1750900","487200","159600","218100","463200","226100","310900","1865000","484000","169500","218300","469300","222500","321700","1885200"
"Illinois","3313600","1190900","1538400","3655400","1355500","1502200","12556000","3283100","1177900","1569600","3607400","1403300","1517100","12558400","3249300","1144800","1561900","3559600","1469700","1551000","12536400","3218200","1159800","1560300","3516500","1521700","1577200","12553800","3173100","1170000","1564000","3486200","1541700","1632900","12567900","3121600","1185300","1565700","3450400","1573600","1674500","12571100","3094700","1170100","1557900","3418400","1609800","1718400","12569400","3048200","1175400","1549800","3387900","1622000","1766500","12549700","3024600","1125300","1560100","3333500","1638300","1809500","12491200","3007500","1114500","1554000","3288200","1654300","1878200","12496600","2965600","1103100","1543200","3251000","1649800","1925700","12438400","2925600","1070400","1556300","3193400","1635400","1981300","12362300","2905600","1048500","1502200","3234700","1630300","2047600","12368800","2817700","1081600","1509800","3198800","1587300","2101000","12296100"
"Indiana","1631500","532800","739300","1797900","701700","769700","6172900","1638000","570400","736500","1768000","726100","782900","6221900","1651900","570800","725800","1766800","768200","805800","6289300","1652800","577200","720800","1744700","800100","821300","6317100","1639100","585800","733100","1721100","804600","855100","6338800","1634700","585600","734100","1709500","823500","879000","6366500","1621300","593700","738200","1696100","831600","905800","6386700","1623900","607400","730400","1679100","844700","929600","6415100","1621300","602900","738100","1655500","858200","955400","6431400","1613200","593900","753400","1651400","859000","988500","6459400","1609500","585500","762900","1648200","865400","1015400","6487100","1601800","593300","771600","1628100","870700","1046300","6511800","1624800","587300","785200","1657700","861900","1084400","6601300","1613900","614000","788300","1653500","852600","1117000","6639400"
"Iowa","727200","279600","311300","824500","340300","411000","2894000","735300","269600","329400","799100","352900","416400","2902600","743700","267000","335900","801000","372300","428400","2948200","744800","264100","351600","781400","387700","434300","2963800","743800","276500","344400","777100","389000","445200","2976000","748100","272500","344600","770700","399800","454700","2990300","744700","271000","349100","766600","401900","468600","3002100","743400","278600","348900","760100","410700","478000","3019800","739500","276700","350500","761100","409900","492800","3030400","754600","273500","348700","753800","415400","499600","3045600","754700","272000","352500","747900","411700","517900","3056800","746500","272600","349600","743900","416000","531600","3060200","754900","274500","345200","756200","414100","548300","3093200","743600","277200","360400","755800","401100","562900","3101000"
"Kansas","715000","262700","316700","757100","303100","346900","2701400","722900","276600","315300","746100","312800","342300","2716000","749600","257000","317700","745200","330200","361200","2761000","744700","265900","318200","735000","344500","363800","2772200","744800","263500","334400","723700","347800","373300","2787500","741500","262500","336000","710600","356300","389600","2796500","747600","268100","335200","704100","358800","396900","2810700","742200","261900","334300","706000","365600","406800","2816600","737600","271200","327000","697200","367100","416800","2817000","733800","263400","330000","687500","371900","430900","2817600","727700","260300","325200","688300","371700","441600","2814700","722100","257400","324900","678500","368000","460300","2811200","723300","259000","322500","697700","368600","472000","2843100","714000","267900","322500","692900","351600","489700","2838500"
"Kentucky","1038900","348600","492200","1229700","498900","535200","4143600","1045800","374800","499000","1201400","509400","543300","4173500","1047900","378400","490000","1195000","538600","557200","4207100","1055500","373400","490100","1184900","552700","571300","4227900","1042800","380600","488700","1174000","558300","590700","4235100","1042400","391900","484700","1160700","568600","612600","4260900","1037200","387100","484100","1155200","573200","632000","4268800","1037500","385700","481200","1142800","584300","651700","4283400","1037000","385100","485100","1129300","587300","663900","4287700","1042300","377400","492700","1119700","590100","684800","4307100","1024400","388100","501600","1104200","591000","711100","4320300","1023000","383900","491400","1096100","592200","732800","4319300","1036400","378500","506600","1098700","595400","750100","4365500","1032400","385300","512400","1100600","580500","766100","4377200"
"Louisiana","1151300","432300","489200","1194900","494600","511400","4273800","1167100","440200","528800","1189200","501000","526100","4352400","1161000","445500","533300","1189000","534300","537300","4400400","1163900","442200","542500","1180600","550400","551600","4431200","1159200","442400","551800","1168700","557200","577700","4457000","1152000","449500","562800","1156700","575900","586400","4483200","1153700","441200","570000","1153600","578400","611500","4508500","1156400","434100","572700","1146300","588200","632500","4530300","1153300","420200","569000","1143100","590300","654600","4530500","1156100","424700","551400","1139300","594900","675100","4541500","1142700","408800","549800","1125800","592700","699600","4519300","1123900","393800","552100","1113600","593300","721800","4498600","1112300","398200","522600","1114000","582900","750300","4480200","1099800","385300","522900","1113600","572100","757800","4451600"
"Maine","283600","95500","126800","403500","172600","192200","1274100","277700","101300","130100","387000","181800","196000","1273900","280700","99000","129000","386000","192000","203900","1290600","277000","98700","129800","378500","197400","210800","1292200","275000","99000","131300","367300","200600","219300","1292600","266300","103600","129000","361100","204000","227900","1291900","264100","102300","131500","354400","206600","234900","1293800","259000","103000","129600","347800","207900","245300","1292600","264800","93200","137700","340300","208100","249700","1293800","261400","92500","143000","335100","209400","258800","1300200","250700","93700","140400","332500","214300","267900","1299500","247700","97100","142900","328000","208900","277700","1302300","254400","90600","151400","337800","211700","290900","1336900","251000","93400","151700","338300","210600","303200","1348100"
"Maryland","1391500","497500","618300","1668900","634000","659700","5470000","1397500","501200","639000","1660600","659500","667800","5525700","1395200","511900","663600","1668100","694300","689000","5622200","1393300","511600","675200","1660700","721500","706400","5668600","1394400","514900","698100","1643700","733200","738400","5722700","1392400","510000","711200","1639800","746000","768100","5767500","1397000","515800","719900","1628900","762500","795200","5819300","1383200","530000","709200","1618000","777100","820800","5838300","1393900","496500","726500","1602300","784000","853200","5856500","1387600","500100","723100","1598700","807300","876000","5892900","1378800","491800","712200","1573200","808400","906300","5870800","1369900","474900","720900","1559300","811700","938700","5875500","1403300","468300","717600","1590400","829900","982700","5992100","1398700","479200","708300","1588200","819100","1017700","6011200"
"Massachusetts","1491100","566900","726200","1933600","741200","806000","6265100","1485100","565400","741200","1950900","774100","841300","6358100","1469400","561800","743300","1887300","802600","864000","6328400","1461300","568300","746100","1869800","834600","880400","6360600","1454900","566500","775000","1849800","844800","919500","6410600","1439300","584200","786400","1827400","859900","954300","6451500","1437200","597300","802700","1813900","877500","977800","6506500","1432100","595200","818300","1802900","903700","1003400","6555600","1430500","583400","836100","1775300","907200","1038100","6570600","1429000","568000","863800","1765200","922400","1072200","6620600","1412700","581700","873100","1753300","936100","1103100","6659900","1392200","581200","875600","1730600","935300","1135900","6650800","1413000","552900","877600","1761500","955500","1183700","6744100","1386700","581100","862400","1752100","949200","1226400","6757900"
"Michigan","2505200","882400","1078700","2888600","1161400","1248100","9764400","2433800","911100","1043700","2847200","1203600","1284900","9724300","2425400","872400","1021200","2764700","1251400","1322500","9657600","2373400","913800","1019000","2703900","1294800","1350200","9655100","2344200","922900","1016100","2654300","1316000","1405800","9659300","2314600","929000","1028900","2604100","1343800","1443900","9664300","2288000","929600","1050300","2569200","1356200","1489400","9682700","2274300","919100","1074100","2526500","1362100","1537600","9693800","2251300","909600","1092800","2486200","1384400","1569300","9693500","2231400","896700","1111900","2462600","1393300","1624500","9720300","2228200","890600","1151100","2431200","1392900","1676000","9770000","2211900","884100","1151600","2398300","1391200","1728600","9765600","2219700","868400","1165000","2410600","1389200","1789000","9841800","2172800","896600","1161100","2403000","1357100","1834000","9824500"
"Minnesota","1297300","473900","598900","1528500","580700","605200","5084500","1302300","473800","622500","1499600","602400","628300","5128900","1324500","447000","637300","1489000","634800","655000","5187500","1324500","460600","643700","1464300","654800","674500","5222300","1322100","441600","671300","1443600","680200","697500","5256300","1314000","462000","661400","1432400","690800","727300","5287800","1315900","462200","678600","1416600","710400","746700","5330400","1321800","458100","671100","1421000","722700","770900","5365600","1323400","456800","669100","1408200","733800","801600","5392900","1326200","463800","677000","1407900","744000","827600","5446600","1336600","458400","685900","1398200","752600","857200","5489000","1340700","451900","690600","1387600","752800","891100","5514800","1345300","457700","664500","1433400","747000","937200","5585100","1322600","478900","679700","1420600","739600","959100","5600400"
"Mississippi","793800","267900","315900","784100","317800","347400","2826800","793300","276000","331100","757500","321900","356600","2836300","786500","265600","322000","776800","345600","370600","2867200","779800","271900","323100","774300","356600","372800","2878500","782800","281500","322600","751900","358400","387300","2884500","765300","278200","325300","750600","367600","402200","2889200","760400","269800","323400","749000","368200","416000","2886800","760300","272600","315100","742700","370000","428600","2889300","755300","272400","314900","735600","373000","436200","2887300","746700","273400","303900","731900","377300","451200","2884500","735000","262100","326400","717600","377300","461000","2879400","727100","254000","315500","719900","376200","474400","2867100","717400","255800","303600","717200","370400","486100","2850600","700600","256400","305600","711600","357600","497200","2828900"
"Missouri","1459600","530500","667800","1643600","667500","759200","5728200","1484300","538100","673700","1638800","689300","781600","5805900","1460700","533600","663900","1618400","718200","807200","5802000","1455100","522600","686500","1590600","748700","819900","5823500","1441700","527500","695700","1562600","753600","849600","5830600","1428700","546000","694700","1542600","769100","872000","5853100","1427200","534800","703000","1530000","782700","892600","5870200","1428600","547100","685100","1514600","801300","914200","5890900","1437100","514400","693200","1509500","807600","936300","5898000","1424200","510800","720200","1479400","813300","973400","5921300","1405600","519900","714300","1470900","823200","1000600","5934500","1403400","504400","721400","1462200","824200","1024300","5939900","1428400","498900","703600","1487000","817200","1052400","5987500","1399800","525700","712000","1482800","793000","1076700","5990000"
"Montana","240200","89300","99800","261500","119200","128400","938500","227700","91100","103200","258000","128000","134700","942700","233800","80000","106400","260000","138500","144100","962800","227100","91400","110000","253100","144500","145500","971600","227400","85900","108900","255900","147200","153500","978700","231200","90800","109700","246900","148200","159500","986300","229800","95200","110000","243000","149600","166100","993700","230300","92600","114600","244200","150300","174000","1005900","235300","93300","110000","242200","153400","181000","1015100","230300","95000","115500","246100","151200","184600","1022600","232800","84500","118800","247800","152000","198000","1034000","234600","88300","118100","245200","149100","204100","1039400","238600","95400","123300","255200","148200","213100","1073800","243300","95500","126700","264700","142900","220300","1093400"
"Nebraska","468000","158800","203800","479100","190600","220700","1721000","454100","176300","206100","469400","197600","227900","1731300","468600","162200","216300","475300","214200","234500","1771000","469700","170200","209200","471800","222500","238800","1782300","477300","158500","219000","471200","224900","244300","1795100","477800","169100","221900","460100","229600","252600","1811200","485300","161900","223200","459800","233500","260000","1823700","485600","172100","218400","457900","236400","267900","1838400","478400","172800","219500","461800","238400","274200","1845000","482900","167300","229600","453800","243500","282100","1859200","488400","161600","224800","460200","242200","291700","1868900","487200","164300","229300","448800","241300","302600","1873600","495400","166900","224400","467700","239100","313600","1907000","488700","172200","220600","477400","231400","323400","1913700"
"Nevada","691300","216400","328100","737000","290000","293900","2556800","704100","226400","340700","730600","292500","302000","2596300","693400","241000","336900","747600","315500","323200","2657600","686100","245900","335400","746700","325800","336000","2675800","683800","250900","341700","749600","329500","355500","2710900","686700","250400","346900","750700","334900","375900","2745400","685800","259200","351300","759100","342200","397700","2795200","689200","254900","359100","769200","351000","419300","2842700","699500","256700","366500","769600","361500","436700","2890400","703900","257000","374200","788600","367700","455300","2946600","707300","251100","386200","791200","373600","473900","2983400","712700","250700","396800","795100","381500","493000","3029700","719700","249500","398100","819900","388600","514600","3090300","714300","259100","400200","830400","387100","534300","3125400"
"New Hampshire","302500","102300","134800","413300","164600","157900","1275300","298900","113100","127100","406000","168400","169500","1282900","295400","99700","126400","402300","179800","172400","1276000","290600","104800","126600","394100","184900","177100","1278200","283900","104300","128600","385600","189600","188000","1280100","279900","104900","133000","375700","192300","194900","1280700","279200","109400","132000","368000","196200","201700","1286500","274600","106600","135100","359400","201600","210300","1287600","271000","106400","139200","352900","203600","218100","1291300","264100","104700","147400","345600","208300","226900","1297000","266500","106400","146700","341300","212100","237200","1310300","263700","102700","150800","339100","213700","244100","1314000","266200","102600","160700","341800","215400","260100","1346700","258800","103100","166300","340400","217400","272400","1358400"
"New Jersey","2137300","722400","938200","2639000","961700","1096000","8494600","2129900","703500","964300","2597500","1000300","1123700","8519200","2140700","706500","977300","2597600","1046800","1151500","8620400","2124200","717200","978400","2571100","1075800","1172100","8638700","2110800","723600","990200","2554700","1096500","1209700","8685500","2105800","734700","997000","2515200","1114900","1249300","8716900","2090600","746900","1002000","2498000","1148200","1270600","8756200","2075400","753700","1003000","2470200","1171400","1302500","8776300","2065300","743200","1007100","2429000","1182700","1335600","8762700","2059500","734100","1026100","2420300","1207500","1376400","8823900","2025600","725800","1002400","2365900","1205500","1403100","8728300","2000100","711700","1015000","2321300","1212800","1438400","8699400","2089100","717700","1063900","2412100","1274300","1528000","9085100","2068600","734000","1055200","2410300","1248400","1575100","9091400"
"New Mexico","523300","187700","225100","521300","221800","254800","1934000","537200","189100","230200","512000","233000","257100","1958500","538100","194100","222900","534900","257800","270300","2018000","543200","199600","232100","517200","266000","278500","2036500","541900","183200","241700","519800","264300","288400","2039200","531300","196600","234300","509100","265800","303100","2040200","517500","206800","233900","496900","270500","311000","2036700","519400","189400","236500","494500","269500","325900","2035300","502400","188800","239800","492300","271200","334900","2029400","508700","191500","236800","481700","275600","343900","2038200","499900","186400","239200","484500","271000","364300","2045300","490600","183500","238100","485800","269900","373600","2041400","496300","172600","239300","498900","270100","386000","2063100","470300","189400","235000","505500","257500","399900","2057700"
"New York","4600800","1805700","2199300","5657400","2195800","2485000","18944000","4572800","1743600","2305400","5595600","2259500","2513400","18990400","4474700","1794500","2323300","5440300","2302700","2524500","18860000","4429100","1833900","2357200","5391800","2367200","2561300","18940500","4412800","1839600","2395400","5333200","2405200","2654000","19040100","4374000","1843800","2443300","5292700","2441800","2724000","19119600","4358300","1828500","2487400","5265900","2478800","2797400","19216400","4327100","1822200","2503400","5223900","2518700","2873900","19269200","4293800","1785100","2520400","5142900","2544000","2935400","19221500","4260400","1761000","2551200","5096700","2573500","3072900","19315700","4182800","1648400","2552500","4945500","2573600","3114200","19016900","4108000","1632400","2537700","4850700","2579200","3200300","18908300","4222100","1562200","2493100","4973200","2673500","3385600","19309800","4086800","1624400","2462200","4913700","2601800","3472900","19161800"
"North Carolina","2318000","757500","1052800","2622200","1042700","1093000","8886300","2344700","814400","1050100","2609800","1068900","1138800","9026700","2363900","818000","1072500","2652600","1133500","1200600","9241100","2389800","830000","1078300","2642200","1177600","1235300","9353100","2368400","850400","1076500","2654200","1188900","1300800","9439200","2363300","869700","1082800","2633000","1210000","1363700","9522500","2370300","872400","1097900","2640000","1232200","1420100","9632900","2378000","871200","1119400","2634300","1258100","1472700","9733700","2383000","852900","1128500","2653200","1287900","1524500","9829900","2394200","847500","1158700","2658600","1301900","1587700","9948800","2383600","848600","1179600","2653900","1330700","1648100","10044400","2384500","870500","1192200","2635400","1345800","1711300","10139700","2388000","849800","1193400","2661700","1353200","1765600","10211700","2378900","887600","1235000","2663100","1353600","1822000","10340200"
