,State,Year,TotalBallots,PercentVotingEligibleVotes,PercentBachelors,Income,PercentWhite,AverageAge,Presidential,YearsSince2000
192,Rhode Island,2006,392882.0,52.0912361,29.6,78.12,82.6,38.4,0,6
193,South Carolina,2006,1117311.0,35.4471667,22.7,57.6,67.30000000000001,37.1,0,6
194,South Dakota,2006,341105.0,58.751240110000005,24.8,66.04,87.2,37.3,0,6
195,Tennessee,2006,1868363.0,42.13794066,21.7,59.16,79.2,37.2,0,6
197,Utah,2006,582561.0,35.00288105,28.6,79.42,89.1,28.4,0,6
198,Vermont,2006,263025.0,54.9977313,32.4,75.57,96.3,40.6,0,6
199,Virginia,2006,2398589.0,44.53772541,32.7,83.04,70.8,36.9,0,6
200,Washington,2006,2085074.0,47.3452088,30.5,79.56,80.5,36.7,0,6
201,West Virginia,2006,473014.0,33.750793800000004,16.5,55.86,94.6,40.7,0,6
202,Wisconsin,2006,2183155.0,53.71365544,25.1,75.15,87.5,37.6,0,6
203,Wyoming,2006,196217.0,51.75495283,22.7,68.39,91.8,37.5,0,6
204,Alabama,2008,2105622.0,60.95284136,22.0,60.81,68.67,37.65537123,1,8
205,Alaska,2008,327341.0,68.27726316,27.3,87.5,66.16,34.41499924,1,8
206,Arizona,2008,2320851.0,57.36055313,25.1,64.15,58.220000000000006,36.57862643,1,8
207,Arkansas,2008,1095958.0,52.9048839,18.8,54.13,75.71,37.74574864,1,8
208,California,2008,13743177.0,61.73516848,29.6,77.96,42.03,35.88449083,1,8
209,Colorado,2008,2422236.0,71.60110424,35.6,83.33,71.06,36.31498744,1,8
211,Delaware,2008,413562.0,65.83285578,27.5,69.33,67.74,37.93864013,1,8
212,District of Columbia,2008,266871.0,61.69486275,48.2,76.01,31.61,37.75559134,1,8
213,Florida,2008,8453743.0,66.63097511000001,25.8,61.34,60.27,40.00452046,1,8
214,Georgia,2008,3940705.0,62.73138007,27.5,63.21,58.3,35.55832729,1,8
215,Hawaii,2008,456064.0,49.03560711,29.1,84.12,23.599999999999998,38.84141579,1,8
216,Idaho,2008,667506.0,64.84317322000001,24.0,64.84,84.85000000000001,35.69999326,1,8
217,Illinois,2008,5578195.0,64.25649494,29.9,72.82,64.47,36.68861102,1,8
218,Indiana,2008,2805986.0,60.30463233,22.9,63.61,83.33,37.14933014,1,8
219,Iowa,2008,1543662.0,69.65688279,24.3,68.56,90.14999999999999,38.14115411,1,8
220,Kansas,2008,1264208.0,63.47193611,29.6,65.47,80.42,37.01354853,1,8
221,Kentucky,2008,1858578.0,58.9532736,19.7,56.26,88.09,37.93701129,1,8
222,Louisiana,2008,1979852.0,61.75855342,20.3,54.1,62.19,36.58332163,1,8
223,Maine,2008,744456.0,71.84190566000001,25.4,64.58,95.38,40.3311357,1,8
224,Maryland,2008,2661905.0,67.81721411,35.2,87.12,57.46,37.41051188,1,8
225,Massachusetts,2008,3102995.0,67.27287509,38.1,82.48,78.73,38.24547094,1,8
226,Michigan,2008,5039080.0,69.70152342,24.7,68.08,77.78,37.64687026,1,8
227,Minnesota,2008,2921147.0,78.10256937,31.5,75.1,85.09,37.18812076,1,8
229,Missouri,2008,2950504.0,68.17920072,25.0,62.95,82.56,37.6721134,1,8
230,Montana,2008,497599.0,67.07514831,27.1,58.66,87.83999999999999,38.00735216,1,8
231,Nebraska,2008,811923.0,63.69427301,27.1,69.36,83.78999999999999,36.8202208,1,8
232,Nevada,2008,970019.0,57.16650626999999,21.9,74.85,56.61000000000001,36.54294431,1,8
233,New Hampshire,2008,719643.0,72.52813370999999,33.3,90.49,92.94,38.68430957,1,8
234,New Jersey,2008,3910220.0,67.69153852999999,34.4,89.3,61.69,37.89837073,1,8
235,New Mexico,2008,833365.0,61.15861324,24.7,57.57,41.52,36.95377456,1,8
236,New York,2008,7721718.0,59.63191355000001,31.9,69.0,59.97,37.99712838,1,8
237,North Carolina,2008,4354571.0,66.13565113,26.1,58.7,67.25,37.32115729,1,8
238,North Dakota,2008,321133.0,63.62067668,26.9,67.86,90.16,38.09224971,1,8
239,Ohio,2008,5773777.0,67.82242946,24.1,64.18,82.55,37.94501456,1,8
240,Oklahoma,2008,1474694.0,56.30492062,22.2,63.05,71.46000000000001,37.08632581,1,8
241,Oregon,2008,1845251.0,68.33435358,28.1,70.73,79.83,38.17298419,1,8
242,Pennsylvania,2008,6071357.0,64.19321455,26.3,70.29,81.65,39.21583477,1,8
243,Rhode Island,2008,475428.0,62.26074111,30.0,72.8,78.58000000000001,38.76530612,1,8
244,South Carolina,2008,1927153.0,58.203787080000005,23.7,57.64,65.29,37.93090033,1,8
245,South Dakota,2008,387449.0,65.58928088,25.1,70.56,86.07000000000001,37.63241979,1,8
246,Tennessee,2008,2618238.0,57.37733586,22.9,54.29,77.13,37.90223649,1,8
248,Utah,2008,971185.0,57.11891999000001,29.1,85.51,81.96,32.13849189,1,8
249,Vermont,2008,326822.0,67.71029073,32.1,69.33,95.07,39.78217326,1,8
250,Virginia,2008,3753059.0,67.55677118999999,33.7,84.76,67.04,37.50490672,1,8
